,İlaç Adı
2644,erdobil 175 mg/5 ml oral suspansiyon hazirlamak icin toz (200 ml)
2645,erdobil 300 mg sert kapsul (20 kapsul)
2646,"erdostin 175 mg /5 ml suspansiyon icin kuru toz, 100 ml"
2647,"erdostin 175 mg /5 ml suspansiyon icin kuru toz, 200 ml "
2648,erdostin 300 mg 20 kapsul
2649,"erelzi 50 mg/1 ml enjeksiyonluk cozelti iceren
kullanima hazir kalem"
2650,ergafein 150 mg 20 draje
2651,eriolan 50 mg enjeksiyonluk/infuzyonluk cozelti icin liyofilize toz ve cozucu (1 flakon+1 cozucu flakon)
2652,eritretin 30 gr jel
2653,erivedge 150 mg sert kapsul
2654,erleada 60 mg film kapli tablet (120 tablet)
2655,"ertes 72 1,5 mg 1 tablet"
2656,ertinob 100 mg 30 film tablet
2657,ertinob 150 mg 30 film tablet
2658,esbriet 267 mg film kapli tablet (90 tablet)
2659,esbriet 801 mg film kapli tablet (90 tablet)
2660,esemeprol 40 mg iv infuzyon / enjeksiyon icin liyofilize toz iceren 1 flakon
2661,eslotin 2.5 mg/5 ml surup (150 ml)
2662,eslotin 5 mg 10 film tablet
2663,esmax 10 mg 28 film tablet
2664,esmax 10 mg 56 film tablet
2665,esmax 20 mg 28 film tablet
2666,esmax 20 mg 56 film tablet
2667,esmobloc  10 mg / ml iv inf. icin cozelti (250 ml setsiz)
2668,esoblok 40 mg iv enjeksiyon ve infuzyon icin toz iceren 1 flakon
2669,esodax 400 mg 14 film tablet
2670,esom 40 mg 28 enterik kapli mikropellet kapsul
2671,esopral 40 mg 28 kapsul
2672,esopro 40 mg 28 kapsul
2673,esperoct 1000 iu enjeksiyonluk cozelti hazirlamak icin toz ve cozucu (1 flakon)
2674,esperoct 1500 iu enjeksiyonluk cozelti hazirlamak icin toz ve cozucu (1 flakon)
2675,esperoct 2000 iu enjeksiyonluk cozelti hazirlamak icin toz ve cozucu (1 flakon)
2676,esperoct 3000 iu enjeksiyonluk cozelti hazirlamak icin toz ve cozucu (1 flakon)
2677,esperoct 500 iu enjeksiyonluk cozelti hazirlamak icin toz ve cozucu (1 flakon)
2678,esplus 10 mg 28 film tablet
2679,esplus 20 mg 28 film tablet
2680,espovil 40 mg iv enjeksiyon ve infuzyon icin liyofilize toz iceren flakon (1 flakon)
2681,esram 20 mg 28 tablet
2682,essium 40mg iv enjeksiyonluk/infuzyonluk cozelti hazirlamak icin toz (1 flakon)
2683,estracyt 140 mg 100 kapsul
2684,estriol 1 mg 50 gr vajinal krem
2685,estrofem 2 mg 28 tablet
2686,"etacid %0,05 burun spreyi, suspansiyon (140 doz)"
2687,etamivir 75 mg sert kapsul (10 kapsul)
2688,etinib 150 mg film kapli tablet (30 tablet)
2689,etkinia 1 mg 30 tablet
2690,etna combo 100 mg/ 8 mg 14 tablet
2691,etofast 1 gr/2 ml im enjeksiyonluk cozelti 
2692,etol fort 400 mg 14 film tablet
2693,etol sr 600 mg 10 uzatilmis salimli tablet
2694,etolax 500 mg/8 mg 14 film tablet
2695,etopex 100 mg/5 ml iv inf. icin kon.coz.iceren flakon
2696,etosid 100mg/5 ml iv inf. icin kon. solusyon iceren 1 flakon
2697,"etosid 50 mg/2,5 ml iv inf. icin kon. solusyon iceren 1 flakon"
2698,etotac 400 mg film kapli tablet (14 film kapli tablet)
2699,etotac sr 600 mg uzatilmis salimli film kapli tablet (10 uzatilmis salimli film kapli tablet)
2700,etotio 400 mg/8 mg 14 film tablet
2701,"etover 100 mg/ml sprey, cozelti (50 ml)"
2702,etrexin jel 30 g
2703,"eumovate % 0,05 50 gr krem"
2704,"eumovate % 0,05 50 gr merhem"
2705,euthyrox 100 mcg 50 tablet
2706,euthyrox 125 mcg 50 tablet
2707,euthyrox 150 mcg 50 tablet
2708,euthyrox 25 mcg 50 tablet
2709,euthyrox 50 mcg 50 tablet
2710,euthyrox 75 mcg 50 tablet
2711,evasif 245 mg film kapli tablet (30 film kapli tablet)
2712,"evenity 105mg-1,17ml enjeksiyonluk cozelti iceren kullanima hazir enjektor (2 adet enjektor)"
2713,evicap 100 iu 30 yumusak kapsul
2714,evicap 200 iu 30 yumusak kapsul
2715,evicap fort 400 iu 30 yumusak kapsul
2716,evigen 2 cc 5 ampul
2717,evin 300 mg/2 ml i.m. enjeksiyon icin cozelti iceren 5 ampul
2718,evinolle 400 iu 30 yumusak kapsul
2719,evoltu 20mg/20ml infuzyonluk cozelti hazirlamak icin konsantre
2720,evolvia ac 400 g
2721,evolvia ar 400 g
2722,evolvia premature 400 g
2723,"evolvia rp 1, 400 g"
2724,evolvia rp 2 (400 g)
2725,"evosten 175 mg /5 ml oral suspansiyon hazirlamak icin toz, 200 ml "
2726,"evosten 175 mg/5 ml oral suspansiyon hazirlamak icin toz, 100 ml "
2727,evosten 300 mg sert kapsul (20 kapsul)
2728,evrenzo 100 mg film kapli tablet (12 adet)
2729,evrenzo 150 mg film kapli tablet (12 adet)
2730,evrenzo 20 mg film kapli tablet (12 adet)
2731,evrenzo 50 mg film kapli tablet (12 adet)
2732,evrenzo 70 mg film kapli tablet (12 adet)
2733,exagyn 7 vajinal tablet
2734,exanafin %1 krem (30 g)
2735,excaliba 20/5 mg 28 film tablet
2736,excaliba 40/10 mg 28 film tablet
2737,excaliba 40/5 mg 28 film tablet
2738,"excaliba plus 20 mg/ 5 mg/ 12,5 mg film kapli tablet (28 tablet)"
2739,"excaliba plus 40 mg/ 10 mg/ 12,5 mg film kapli tablet (28 tablet)"
2740,excaliba plus 40 mg/ 10 mg/ 25 mg film kapli tablet (28 tablet)
2741,"excaliba plus 40 mg/ 5 mg/ 12,5 mg film kapli tablet (28 tablet)"
2742,excaliba plus 40 mg/ 5 mg/ 25 mg film kapli tablet (28 tablet)
2743,excegran 100 mg 100 kapsul
2744,excipial hydro %2 emulsiyon 200 ml
2745,excipial lipo %4 emulsiyon 200 ml
2746,exelderm %1 30 gr krem
2747,exelderm %1 sprey (20 ml)
2748,"exelon 1,5 mg 28 kapsul"
2749,exelon 2 mg 120 ml solusyon
2750,exelon 3 mg 28 kapsul
2751,"exelon 4,5 mg 28 kapsul"
2752,exelon 6 mg 28 kapsul
2753,exen fort 15 mg 10 tablet
2754,"exenate %0,1 30 g krem"
2755,"exenate %0,1 50 g losyon"
2756,"exenate %0,1 merhem (1 tup - 30 g)"
2757,exetu 25 mg 30 film kapli tablet
2758,exforge 10/160 mg 28 film tablet
2759,exforge 5/160 mg 28 film tablet
2760,"exifin %1 deriye uygulanacak sprey, cozelti (20 ml)"
2761,exifin %1 krem (30g)
2762,exipot 880 mg/1 g granul (20 sase)
2763,exjade 125 mg 28 adet suda cozunur tablet
2764,exjade 250 mg 28 adet suda cozunur tablet
2765,exjade 500 mg 28 adet suda cozunur tablet
2766,"exocin %0,3 5 ml steril oftalmik solusyonu"
2767,"exoderil % 1  sprey, cozelti"
2768,exoderil %1 30 gr krem
2769,expigment %2 30 gr krem
2770,expigment %4 30 gr krem
2771,extal 600 mg 10 efervesan tablet
2772,extal 600 mg 20 effervesan tablet
2773,extal 900 mg efervesan tablet (20 tablet)
2774,extal fort 1200 mg efervesan tablet (20 tablet)
2775,extenda 30 mg 3 film kapli tablet
2776,extenda 30 mg film tablet (1 tablet)
2777,extenda 60 mg film tablet (3 tablet)
2778,extrair 12 mcg-200 mcg inhalasyon icin toz iceren 60+60 kapsul
2779,extrair 12 mcg-400 mcg inhalasyon icin toz iceren 60+60 kapsul
2780,"extraneal periton diyaliz cozeltisi (2000 ml ciftli torba, mini kapakli)"
2781,extraneal periton diyaliz cozeltisi (2500 ml teklitorba)
2782,extranefrol periton diyaliz cozeltisi (2000 ml cift torba)
2783,extranefrol periton diyaliz cozeltisi (2500 ml tek torba)
2784,"eyenat %0,15 goz damlasi, cozelti (10ml)"
2785,"eyestil %0,15 goz damlasi, cozelti (10 ml)"
2786,"eyestil tek doz %0,15 goz damlasi, cozelti (0,3 ml 20 flakon)"
2787,"eye-visol % 0,05 5 ml damla"
2788,eylea 40 mg/ml intravitreal enjeksiyon icin coz. iceren 1 flakon
2789,eylea 40 mg/ml intravitreal enjeksiyon icin cozelti iceren kullanima hazir enjektor (1 adet)
2790,ezetec 10 mg 28 tablet
2791,ezetec 10 mg 84 tablet
2792,ezetec plus 10 mg/10 mg film kapli tablet (30 tablet)
2793,ezetec plus 10 mg/20 mg film kapli tablet (30 tablet)
2794,ezetec plus 10 mg/40 mg film kapli tablet (30 tablet)
2795,ezetrol 10 mg tablet (28 tablet)
2796,fabrazyme 35 mg 1 flakon
2797,faktor viii 8y 500 iu iv infuzyon icin liyofilize toz iceren 1 flakon
2798,famodin 20 mg 60 tablet
2799,famodin 40 mg 30 tablet
2800,famoser 40 mg 30 film kapli tablet
2801,fampyra 10 mg uzatilmis salimli tablet (56 tablet)
2802,fanhdi 1000 iu 1 flakon
2803,fanhdi 1500 iu / 15 ml enjeksiyonluk cozelti hazirlamak icin liyofilize toz ve cozucu (1 flakon)
2804,fardoben gargara 200 ml
2805,fardoben oral sprey 30 ml
2806,fasenra 30 mg/ml enjeksiyonluk cozelti iceren kullanima hazir enjektor (1 adet)
2807,faslodex 250 mg/5 ml x 2 enjeksiyonluk cozelti
2808,"fastair 100 mcg/6 mcg inhalasyon tozu, sert kapsul (120 kapsul)"
2809,fastfine insulin kalem ignesi 29g-12mm
2810,fastfine insulin kalem ignesi 31g-8mm
2811,fastfine insulin kalem ignesi 32g-4mm
2812,"fastjel %2,5 50 gr jel"
2813,fasttest kan sekeri olcum sistemi
2814,fasttest kan sekeri test stribi
2815,"fasturtec 1,5 mg/1 ml infizyonluk cozelti icin toz iceren flakon vecozucu iceren ampul"
2816,faverin 100 mg 30 tablet
2817,febind 250 mg suda dagilabilen tablet (28 tablet)
2818,febind 500 mg suda dagilabilen tablet (28 tablet)
2819,febind-f 360 mg film kapli tablet (30 tablet)
2820,feiba 500 u iv infuzyon icin liyofilize toz iceren flakon (10 ml) 
2821,feksine 120 mg film kapli tablet (20 tablet)
2822,feksine 180 mg film kapli tablet (20 tablet)
2823,felden flash 20 mg 10 tablet
2824,"femara 2,5 mg 30 film tablet"
2825,femaris plus 150 mg/5600 iu film kapli tablet(3 film tablet)
2826,feniram 400 mg 24 film tablet
2827,fenistil 1 mg 30 gr jel
2828,"fenko 62,4 mg/5 ml surup 125 ml"
2829,"fenofrin % 2.5 goz damlasi, cozelti"
2830,fenokodin 20 mg/10 mg tablet (20 tablet)
2831,fepatil 267 mg sert kapsul (30 kapsul)
2832,fepatil 267 mg sert kapsul (90 kapsul)
2833,feramat 100 mg 30 kapsul
2834,fericose 100 mg/5 ml iv enjeksiyonluk cozelti iceren 5 ampul
2835,ferifer 100 mg/5 ml oral cozelti iceren 28 kasik
2836,ferifer-40 oral cozelti 40 mg/5 ml 28 kasik
2837,ferimax 100 mg/2 ml 5 ampul
2838,ferint 100 mg/5 ml i̇v ampul (5 ampul)
2839,ferlos 20 mg/ml oral cozelti (demir iii hidroksit polimaltoz kompleksi) (10 flakon)
2840,ferout 180 mg 30 film kapli tablet 
2841,ferout 360 mg 30 film kapli tablet 
2842,ferout 90 mg 30 film kapli tablet 
2843,ferout s 125 mg suda dagilabilen 28  tablet
2844,ferout s 250 mg suda dagilabilen 28  tablet
2845,ferout s 500 mg suda dagilabi̇len tablet 
2846,ferplex 40 mg 15 ml oral suspansiyon
2847,ferplex fol oral solusyon
2848,ferriprox 100 mg/ml 500 ml surup
2849,ferriprox 500 mg 100 film tablet
2850,ferro sanol b 150 ml surup
2851,ferro sanol duodenal 100 mg kapsul
2852,ferrosel 100 mg/5 ml iv inf. icin konsantre cozelti iceren ampul
2853,ferroven 100 mg / 5 ml iv enjeksiyonluk cozelti (5 ampul)
2854,ferrozinc - g surup
2855,ferrozinc 100 ml surup
2856,ferrozinc 20 kapsul
2857,ferrum hausman 150 ml surup
2858,ferrum hausman fort 100 mg 30 draje
2859,ferrum hausmann 100 mg/5ml oral cozelti
2860,ferrum hausmann 30 ml damla
2861,fertamir 100 mg efervesan granul iceren sase
2862,fertamir 40 mg efervesan granul iceren sase
2863,fervion 100mg/2ml im enjeksiyonluk cozelti (2 ml)
2864,fesor 250 mg dagilabilir tablet (28 tablet)
2865,fesor 500 mg dagilabilir tablet (28 tablet)
2866,fevere 25 mg/ml oral cozelti (50 ml 1 sise)
2867,fexadyne 120 mg 20 tablet
2868,fexadyne 180 mg 20 tablet
2869,fexofen 120 mg 20 tablet
2870,fexofen 180 mg 20 tablet
2871,fidelity kan seker strip 50 adet
2872,fidelyt kan seker olcum cihazi
2873,filinsel 24mg/ml 10 ml x 3 ampul
2874,"findel 0,5 mg 28 kapsul"
2875,fine ject kalem igne ucu (8mm)
2876,fine ject kalem ucu(6mm)
2877,fine-ject insulin kalem igne 31g-4mm
2878,fingolitu 0.5 mg sert kapsul (28 adet)
2879,"fingya 0,5 mg 28 kapsul"
2880,finhair 1 mg film kapli tablet
2881,fito 50 mg/g krem (40 gr)
2882,fix-at 475 mg 180 film tablet
2883,fix-at 950 mg 180 film tablet
2884,fixatom 10 mg kapsul (28 kapsul)
2885,fixatom 18 mg kapsul (28 kapsul)
2886,fixatom 25 mg kapsul (28 kapsul)
2887,fixatom 40 mg kapsul (28 kapsul)
2888,fixatom 60 mg kapsul (28 kapsul)
2889,fixdual 5 mg/10 mg 30 film tablet
2890,fixef 100 mg/5 ml pediatrik oral suspansiyon 100 ml
2891,fixef 100 mg/5 ml pediatrik oral suspansiyon 50 ml
2892,fixef 400 mg 10 film tablet
2893,fixef 400 mg 5 film tablet
2894,"fixhaler 12 mcg/100 mcg inhalasyon tozu, sert kapsul (60 kapsul)"
2895,"fixhaler 12 mcg/250 mcg inhalasyon tozu, sert kapsul (60 kapsul)"
2896,"fixhaler 12 mcg/500 mcg inhalasyon tozu, sert kapsul (60 kapsul)"
2897,"fixriva 27,5 mcg burun spreyi̇,suspansiyon (120 doz)"
2898,flagentyl 500 mg 4 film tablet
2899,"flagyl %0,5 enj. 100 ml cozelti (setli)"
2900,"flagyl %0,5 enj. 100 ml cozelti (setsiz)"
2901,flagyl 125 mg/5 ml oral suspansiyon
2902,flagyl 500 mg 20 film tablet
2903,flantadin 30 mg 10 tablet
2904,flantadin 6 mg 20 tablet
2905,"flarex % 0,1 steril oftalmik suspansiyon (5 ml)"
2906,"flarex % 5 0,1 mg 5 ml oft.sol."
2907,flebogamma % 5 dif 10 g/200 ml infuzyon icin cozelti iceren 1 flakon
2908,flebogamma % 5 dif 5 g/100 ml infuzyon icin cozelti iceren 1 flakon
2909,flessi 10 mg film kapli tablet (30 tablet)
2910,flessi 5 mg film kapli tablet (30 tablet)
2911,flexfine 4 mm 31g igne ucu
2912,flexfine 6 mm 31 g igne ucu
2913,flexfine 8 mm 30g insulin kalem ignesi
2914,flexo %5 jel (40 g) 
2915,flexo 1 g / 2 ml i.m. enjeksiyonluk cozelti iceren ampul (1 ampul)
2916,"flexo 100 mg / ml sprey, cozelti (50 ml)"
2917,flexor fine insulin kalem ignesi 31g 0.25x5mm
2918,flexor fine insulin kalem ignesi 31g 0.25x6mm
2919,flexor fine insulin kalem ignesi 31g 0.25x8mm
2920,flexor fine insulin kalem ignesi 32g 0.23x4mm
2921,flextra 400 mg 24 film kapli tablet (24 tablet)
2922,"flixair 0,5 mg/2 ml nebulizasyon icin tek dozluk inhalasyon suspansiyonu iceren flakon (10 flakon)"
2923,flixair 2 mg/2 ml nebulizasyon icin tek dozluk inhalasyon suspansiyonu iceren flakon
2924,flixon 50 mcg inhalasyon cozeltisi iceren aerosol (120 doz)
2925,flixon inhaler 125 mcg 120 doz inhaler
2926,flixonase aqueous nazal spray 120 doz
2927,flixotide diskus 100 mcg 60 doz diskus
2928,flixotide diskus 250 mcg 60 doz diskus
2929,flixotide inhaler 125 mcg 120 doz inhaler
2930,flixotide inhaler 50 mcg 120 doz inhaler
2931,"flixotide nebules 0,5 mg/2 ml"
2932,flixotide nebules 2 mg/2 ml nebulizasyon
2933,floben 2 mg/2 ml nebulizasyon suspansiyonu
2934,flocip %0.05 merhem
2935,"flomax 0,4 mg mr 30 kapsul"
2936,"floprost mr 0,4 mg degistirilmis salimli 30 sert kapsul"
2937,flotic 200 mg/100 ml iv inf.coz.iceren flakon
2938,flotic 400 mg/200 ml iv inf.coz.iceren flakon
2939,floxapen 500 mg film kapli tablet (16 tablet)
2940,floxilevo 500 mg 7 film tablet
2941,floxilevo 750 mg 7 film tablet
2942,"floximed %0.3 goz damlasi, cozelti (5 ml, 1 sise)"
2943,fluanxol 3 mg 50 film kapli tablet
2944,fluanxol depot 20mg/ml 1 ampul
2945,"flubest sr 1,5 mg 30 uzatilmis salimli tablet"
2946,flucan 150 mg 1 kapsul
2947,flucan 150 mg 2 kapsul
2948,fludalt duo 50 mcg/250 mcg inhalasyon icin toz iceren kapsul (60 kapsul)
2949,fludalt duo 50 mcg/500 mcg inhalasyon icin toz iceren kapsul (60 kapsul)
2950,"fludex sr 1,5 mg 30 film tablet"
2951,"fludin 2,5 mg 30 film tablet"
2952,fluject 100 mg/50 ml iv infuzyonluk cozelti iceren 1 flakon
2953,flukol 100mg/50 ml iv infuzyonluk cozelti iceren 1 flakon
2954,"flukopol % 0,9 sodyum klorur iv infuzyon icin cozelti 50 ml setsiz"
2955,fluorouracil-kocak 1000 mg/20 ml iv enjeksiyon icin solusyon iceren flakon
2956,fluorouracil-kocak 500 mg/10 ml iv enjeksiyon icin solusyon iceren flakon
2957,fluosine 500 mg/5  ml iv enjeksiyon icin cozelti iceren flakon (1 flakon)
2958,"flupamid 2,5 mg 60 film tablet"
2959,"flupamid sr 1,5 mg 30 tablet"
2960,flupronat 2 mg/2 ml nebulizasyon suspansiyonu (10 flakon)
2961,"flurend %0,25 gargara"
2962,"flurend %0,25 oral sprey.cozelti (30 ml)"
2963,fluro-5 deva 1000 mg/20 ml iv/ia enjeksiyonluk cozelti iceren flakon
2964,flusible 500 mg / 5 ml enjeksiyonluk cozelti (1 flakon)
2965,"flutel 50 mcg burun spreyi, suspansiyon"
2966,"fluxate 0,5 mg/5 ml iv enj. icin coz. iceren 5 ampul"
2967,"fluzamed %0,3 goz damlasi"
2968,fluzamed 150 mg 12 kapsul
2969,fluzamed 2 mg/ml i.v. infuzyon icin cozelti iceren flakon (1 flakon)
2970,fluzamed 200 mg 7 kapsul
2971,fluzole  100 mg 7 kapsul
2972,fluzole  150 mg 1 kapsul
2973,fluzole  150 mg 2 kapsul
2974,flynta 20 mg film tablet (4 tablet)
2975,flynta 5 mg film tablet (28 tablet)
2976,fml liquifilm oftalmik solusyon
2977,folas 5 mg tablet (50 adet)
2978,folbetake 5 mg 50 tablet
2979,folbiol 5 mg 50 tablet
2980,folca 15 mg 100 tablet 
2981,folfull 5 mg tablet (50 tablet)
2982,folidoce 400 mcg/2 mcg 28 tablet
2983,"fondos 0,5mg 28 kapsul"
2984,fonksera 10 mg 28 film kapli tablet
2985,fonksera 20 mg 28 film kapli tablet
2986,fonksera 5 mg 14 film kapli tablet
2987,fonksera 5 mg 28 film kapli tablet
2988,fora g20 kan sekeri strip (50)
2989,fora g20 seker olcum cihazi
2990,foradil combi fix 320/9 mcg inhalasyon icin toz iceren kapsul (60 adet)
2991,forafine insulin kalem ucu (s) 30g (8mm)
2992,forafine insulin kalem ucu (s) 31g (5mm)
2993,forafine insulin kalem ucu (s) 31g (6mm)
2994,forafine insulin kalem ucu (s) 32g (4mm)
2995,forafine insulin kalem ucu(s) 31g (8mm)
2996,forbefix 6/100 mcg inhalasyon cozeltisi 
2997,"forebec 100 mcg/ 6 mcg inhalasyon tozu, sert kapsul (120 kapsul)"
2998,"forebec 200 mcg/6 mcg inhalasyon tozu, sert kapsul (120 kapsul)"
2999,forflu 200 mg / 30 mg film kapli tablet (30 film kapli tablet)
3000,"fornit 4,5/160 mcg inhalasyon icin toz iceren 60 kapsul"
3001,forpack 12/200 mcg capsair inhalasyon icin toz iceren 60 kapsul
3002,forpack 12/200 mcg discair inhalasyon icin toz (60 doz)
3003,forpack 12/400 mcg capsair inhalasyon icin toz iceren 60 kapsul
3004,forpack 12/400 mcg discair inhalasyon icin toz (60 doz)
3005,forsef im 1000 mg 1 flakon
3006,forsef im 500 mg 1 flakon
3007,"forsteo 20 mcg/80 mcl kullanima hazir dolu enj. kalemi icinde cozelti 2,4 ml"
3008,"forte-d 150.000 iu/10 ml oral damla, cozelti (1 adet)"
3009,"fortevir 0,5 mg 30 film kapli tablet"
3010,fortevir 1 mg 30 film kapli tablet
3011,fortimel compact fibre cilek aromali 4x125 ml
3012,fortimel compact fibre kahve aromali 4x125 ml
3013,fortimel compact fibre vanilya aromali 4x125 ml
3014,fortimel drink cikolata aromali
3015,fortimel drink muz aromali
3016,fortimel energy cikolata aromali
3017,fortimel energy cilek aromali 200 ml
3018,fortimel energy multi fibre cilek aromali
3019,fortimel energy multi fibre vanilya aromali
3020,fortimel energy muz aromali
3021,fortine 100 mg 15 film tablet
3022,"fortini 1,0 multi fibre 200 ml cikolata aromali"
3023,"fortini 1,0 multi fibre 200 ml cilek aromali"
3024,"fortini 1,0 multi fibre 200 ml muz aromali"
3025,"fortini 1,0 multi fibre 200 ml vanilya aromali"
3026,fortini multi fibre 200 ml
3027,fortini multifiber cikolata 200 ml
3028,fortini multifiber cilek 200 ml
3029,fortini multifiber muz 200 ml
3030,fortini multifiber vanilya 200 ml
3031,forziga 10 mg 28 film kapli tablet
3032,fosamax 70 mg tablet (4 adet)
3033,fosavance 70 mg/2800 iu 4 tablet
3034,fosavance 70 mg/5600 iu 4 tablet
3035,fosemazon 150 mg i.v. infuzyonluk cozelti hazirlamada kullanilacak konsantre icin toz
3036,fosetaz 4 mg uzatilmis salimli film kapli tablet (28 tablet)
3037,fosetaz 8 mg uzatilmis salimli film kapli tablet (28 tablet)
3038,fosfat-ex 700 mg 100 film tablet
3039,"fosfaver 2,4 g + 0,9 g/ 5 ml oral cozelti"
3040,fosit 1 g iv perf. icin liyo. toz iceren 1 flakon
3041,fosit 4 g iv perf. icin liyo. toz iceren 1 flakon
3042,foster aerosol inhalasyon cozeltisi 100 mcg/ 6 mcg 120 doz
3043,foster nexthaler 100/6 mcg kuru toz inhaler
3044,fostimon 150 iu im/sc enj. icin liyofilize toz iceren 1 flakon
3045,fostimon 75 iu im/sc enj. icin liyofilize toz iceren 1 flakon
3046,foterol 12 mcg inhalasyon icin toz iceren 60 kapsul
3047,foterol-b 6mcg/100 mcg aerosol inhaler 120 doz
3048,"fraven 30 miu/0,5 ml iv infuzyon/sc enjeksiyon icin cozelti iceren kullanima hazir 5 enjektor"
3049,"fraven 48 miu/0,5 ml iv infuzyon/sc enjeksiyon icin cozelti iceren kullanima hazir enjektor (5 enjektor)"
3050,freamine iii %8.5 500 ml(setli)
3051,freamine iii %8.5 500 ml(setsiz)
3052,freestyle optium kan sekeri 25 test cubuklari
3053,freestyle optium kan sekeri 50 test cubugu
3054,frenag %1 30 gr topikal jel
3055,frenag plus %1 + %5 sprey 50 ml sise
3056,frenag plus jel 50 gr
3057,freselamin %10 500 ml setli sise
3058,freselamin %10 500 ml setsiz sise
3059,"freselamin %8,5 500 ml setli sise"
3060,freselamin %8.5 500 ml setsiz sise
3061,fuarte 125 mg  suda dagilabilen 28 tablet
3062,fuarte 250 mg suda dagilabilen 28 tablet
3063,fuarte 500 mg  suda dagilabilen 28 tablet
3064,fuarte neo 180 mg film kapli tablet (30 film kapli tablet) 
3065,fuarte neo 360 mg film kapli tablet (30 film kapli tablet)
3066,fuarte neo 90 mg film kapli tablet (30 film kapli tablet)
3067,fucicort 30 gr krem
3068,fucidin % 2 20 gr krem
3069,fucidin % 2 20 gr pomad
3070,fucidin 500 mg 15 film tablet
3071,fucidin h krem
3072,fucitec %2 20 gr pomad
3073,fucitec %2 krem 20 gr
3074,fucitec plus krem 30 g
3075,fucithalmic viskoz goz damlasi
3076,"fuggy %0,1 + %1 krem 15 gr"
3077,"fugisid % 1 + % 0,1 krem (15 g)"
3078,"fulduo 100mg/8mg 14 film kapli tablet
"
3079,fullfresh tek dozluk goz damlasi 30 flakon
3080,fulsac 20 mg 24 kapsul
3081,fumast 1 mg/5 ml surup 100 ml
3082,"funderyl % 1  sprey, cozelti (20 ml)"
3083,funderyl %1 30 gr krem
3084,fungajen %1 30 g krem
3085,fungan 150 mg 2 kapsul
3086,fungidas 50 mg infuzyon icin liyofilize toz 1 flakon
3087,fungidas 70 mg infuzyon icin liyofilize toz 1 flakon
3088,"funginail %5 tirnak cilasi, cozelti (2,5 ml)"
